dataset,language,sent_id,dependency_distance
human,en,en-human-0000038,2
human,en,en-human-0000038,1
human,en,en-human-0000038,4
human,en,en-human-0000038,1
human,en,en-human-0000038,1
human,en,en-human-0000039,1
human,en,en-human-0000039,15
human,en,en-human-0000039,13
human,en,en-human-0000039,2
human,en,en-human-0000039,1
human,en,en-human-0000039,3
human,en,en-human-0000039,1
human,en,en-human-0000039,3
human,en,en-human-0000039,2
human,en,en-human-0000039,1
human,en,en-human-0000039,3
human,en,en-human-0000039,1
human,en,en-human-0000039,2
human,en,en-human-0000039,16
human,en,en-human-0000039,1
human,en,en-human-0000039,2
human,en,en-human-0000039,1
human,en,en-human-0000039,4
human,en,en-human-0000039,3
human,en,en-human-0000039,2
human,en,en-human-0000039,1
human,en,en-human-0000039,4
human,en,en-human-0000039,3
human,en,en-human-0000039,2
human,en,en-human-0000039,1
human,en,en-human-0000039,5
human,en,en-human-0000040,4
human,en,en-human-0000040,3
human,en,en-human-0000040,1
human,en,en-human-0000040,1
human,en,en-human-0000040,6
human,en,en-human-0000040,2
human,en,en-human-0000040,1
human,en,en-human-0000040,2
human,en,en-human-0000040,1
human,en,en-human-0000040,1
human,en,en-human-0000040,2
human,en,en-human-0000040,1
human,en,en-human-0000040,4
human,en,en-human-0000040,2
human,en,en-human-0000040,1
human,en,en-human-0000040,8
human,en,en-human-0000040,2
human,en,en-human-0000040,1
human,en,en-human-0000040,3
human,en,en-human-0000040,2
human,en,en-human-0000040,1
human,en,en-human-0000040,6
human,en,en-human-0000040,1
human,en,en-human-0000040,8
human,en,en-human-0000040,2
human,en,en-human-0000040,1
human,en,en-human-0000040,11
human,en,en-human-0000040,1
human,en,en-human-0000040,2
human,en,en-human-0000041,4
human,en,en-human-0000041,3
human,en,en-human-0000041,2
human,en,en-human-0000041,1
human,en,en-human-0000041,9
human,en,en-human-0000041,3
human,en,en-human-0000041,2
human,en,en-human-0000041,1
human,en,en-human-0000041,4
human,en,en-human-0000041,1
human,en,en-human-0000041,2
human,en,en-human-0000041,1
human,en,en-human-0000041,4
human,en,en-human-0000041,1
human,en,en-human-0000041,2
human,en,en-human-0000041,1
human,en,en-human-0000041,5
human,en,en-human-0000041,1
human,en,en-human-0000041,5
human,en,en-human-0000041,4
human,en,en-human-0000041,3
human,en,en-human-0000041,1
human,en,en-human-0000041,1
human,en,en-human-0000041,7
human,en,en-human-0000041,20
human,en,en-human-0000041,6
human,en,en-human-0000041,5
human,en,en-human-0000041,4
human,en,en-human-0000041,1
human,en,en-human-0000041,2
human,en,en-human-0000041,1
human,en,en-human-0000041,12
human,en,en-human-0000041,4
human,en,en-human-0000041,3
human,en,en-human-0000041,1
human,en,en-human-0000041,1
human,en,en-human-0000041,5
human,en,en-human-0000041,1
human,en,en-human-0000041,4
human,en,en-human-0000041,3
human,en,en-human-0000041,2
human,en,en-human-0000041,1
human,en,en-human-0000041,21
human,en,en-human-0000041,3
human,en,en-human-0000041,2
human,en,en-human-0000041,1
human,en,en-human-0000041,4
human,en,en-human-0000041,2
human,en,en-human-0000041,1
human,en,en-human-0000041,3
human,en,en-human-0000042,2
human,en,en-human-0000042,1
human,en,en-human-0000042,1
human,en,en-human-0000043,2
human,en,en-human-0000043,1
human,en,en-human-0000043,1
human,en,en-human-0000044,3
human,en,en-human-0000044,1
human,en,en-human-0000044,4
human,en,en-human-0000044,3
human,en,en-human-0000044,2
human,en,en-human-0000044,1
human,en,en-human-0000044,5
human,en,en-human-0000045,2
human,en,en-human-0000045,1
human,en,en-human-0000045,4
human,en,en-human-0000045,1
human,en,en-human-0000045,1
human,en,en-human-0000046,8
human,en,en-human-0000046,1
human,en,en-human-0000046,2
human,en,en-human-0000046,5
human,en,en-human-0000046,4
human,en,en-human-0000046,3
human,en,en-human-0000046,2
human,en,en-human-0000046,1
human,en,en-human-0000046,1
human,en,en-human-0000046,1
human,en,en-human-0000046,2
human,en,en-human-0000046,3
human,en,en-human-0000046,2
human,en,en-human-0000046,1
human,en,en-human-0000046,4
human,en,en-human-0000046,3
human,en,en-human-0000046,2
human,en,en-human-0000046,1
human,en,en-human-0000046,9
human,en,en-human-0000046,6
human,en,en-human-0000046,5
human,en,en-human-0000046,4
human,en,en-human-0000046,2
human,en,en-human-0000046,1
human,en,en-human-0000046,7
human,en,en-human-0000046,9
human,en,en-human-0000046,2
human,en,en-human-0000046,1
human,en,en-human-0000046,3
human,en,en-human-0000046,1
human,en,en-human-0000046,2
human,en,en-human-0000047,1
human,en,en-human-0000047,1
human,en,en-human-0000047,4
human,en,en-human-0000047,3
human,en,en-human-0000047,1
human,en,en-human-0000047,6
human,en,en-human-0000047,1
human,en,en-human-0000047,2
human,en,en-human-0000047,7
human,en,en-human-0000047,6
human,en,en-human-0000047,1
human,en,en-human-0000047,2
human,en,en-human-0000047,2
human,en,en-human-0000047,1
human,en,en-human-0000047,11
human,en,en-human-0000047,2
human,en,en-human-0000047,1
human,en,en-human-0000047,15
human,en,en-human-0000047,1
human,en,en-human-0000047,2
human,en,en-human-0000047,5
human,en,en-human-0000047,4
human,en,en-human-0000047,3
human,en,en-human-0000047,2
human,en,en-human-0000047,6
human,en,en-human-0000048,1
human,en,en-human-0000048,13
human,en,en-human-0000048,12
human,en,en-human-0000048,11
human,en,en-human-0000048,10
human,en,en-human-0000048,1
human,en,en-human-0000048,3
human,en,en-human-0000048,2
human,en,en-human-0000048,1
human,en,en-human-0000048,4
human,en,en-human-0000048,4
human,en,en-human-0000048,3
human,en,en-human-0000048,2
human,en,en-human-0000048,1
human,en,en-human-0000048,2
human,en,en-human-0000048,1
human,en,en-human-0000048,3
human,en,en-human-0000048,5
human,en,en-human-0000048,1
human,en,en-human-0000048,2
